Order ID,Customer ID,Store ID,Order Date,Full Name,Raw Total,Discount Amount,Order Total
1,259,1,2016-01-01,Johnathan Velazquez,11397.9399414063,1166.89360845588,10231.0463329504
2,1212,2,2016-01-01,Jaqueline Cummings,1799.96997070313,101.998299412709,1697.97167129042
3,523,2,2016-01-02,Joshua Robertson,1599.97998046875,79.9990002155155,1519.98098025323
4,175,1,2016-01-03,Nova Hess,1499.97998046875,149.998000282019,1349.98198018673
5,1324,2,2016-01-03,Arla Ellis,4126.98999023438,226.929301931259,3900.06068830312
6,94,2,2016-01-04,Sharyn Hopkins,10148.9299316406,706.42519954409,9442.50473209654
7,324,2,2016-01-04,Laureen Paul,2387.97998046875,222.898301266414,2165.08167920234
8,1204,2,2016-01-04,Leslie Higgins,1469.96997070313,97.4980987033114,1372.47187199981
9,60,1,2016-01-05,Neil Mccall,7999.97998046875,799.998009967774,7199.98197050098
10,442,2,2016-01-05,Alane Munoz,269.989990234375,26.9989994257539,242.990990808621
11,1326,2,2016-01-05,Tarra Guerrero,3539.94995117188,383.993499374293,3155.95645179758
12,91,1,2016-01-06,Marvin Mullins,7480.96997070313,664.047507453673,6816.92246324945
13,873,2,2016-01-08,Patience Clayton,3527.94995117188,249.895999817491,3278.05395135438
14,258,1,2016-01-09,Maribel William,469.989990234375,32.8992994564742,437.090690777901
15,450,2,2016-01-09,Ellsworth Michael,4397.94995117188,367.893897364369,4030.05605380751
16,552,1,2016-01-12,Lea Key,2879.94995117188,430.195401314749,2449.75454985713
17,1175,1,2016-01-12,Sindy Anderson,4620.94995117188,528.093299985137,4092.85665118674
18,541,1,2016-01-14,Lanita Burton,12769.919921875,1363.49151201683,11406.4284098582
19,696,1,2016-01-14,Norine Huffman,7548.97998046875,1308.42601443672,6240.55396603203
20,923,1,2016-01-14,Randee Pitts,6097.98999023438,426.859301133749,5671.13068910063
21,1250,2,2016-01-15,Neoma Daugherty,2247.98999023438,164.829500813775,2083.1604894206
22,1035,1,2016-01-16,Tangela Hurley,1329.96997070313,225.495498965613,1104.47447173751
23,1149,1,2016-01-16,Drucilla Gilliam,6669.94995117188,403.995001137182,6265.95495003469
24,636,2,2016-01-18,Ashton Lott,2897.97998046875,262.858001294702,2635.12197917405
25,657,2,2016-01-18,Sam Lester,4507.94995117188,874.591004243359,3633.35894692852
26,1280,2,2016-01-18,Jackeline Colon,5839.94995117188,497.794101253675,5342.1558499182
27,57,2,2016-01-19,Pamala Henry,4769.9599609375,563.995902165136,4205.96405877236
28,252,2,2016-01-19,Eleni Gordon,10330.9399414063,1743.54301914488,8587.39692226137
29,437,2,2016-01-20,Laureen Barry,4449.919921875,589.992000979066,3859.92792089593
30,1348,2,2016-01-20,Yvone Guerrero,12377.9599609375,1194.92651406819,11183.0334468693
31,1238,3,2016-01-20,Edgar Quinn,9361.9599609375,1368.09501550339,7993.86494543411
32,1259,1,2016-01-21,Kimbery Nieves,5699.93994140625,428.995198203284,5270.94474320297
33,236,2,2016-01-21,Verona O'neill,4599.96997070313,441.997603795508,4157.97236690762
34,80,2,2016-01-22,Sarai Mckee,7555.97998046875,733.398606879109,6822.58137358964
35,813,2,2016-01-22,Neville Mcclain,3779.93994140625,403.344900426364,3376.59504097989
36,1321,2,2016-01-23,Shantel Gregory,6320.9599609375,676.044802760561,5644.91515817694
37,164,2,2016-01-25,Tomika Larson,1199.97998046875,59.9989999174923,1139.98098055126
38,583,2,2016-01-25,Lashandra Turner,12447.9499511719,869.295608023354,11578.6543431485
39,1296,2,2016-01-25,Travis Whitley,4269.92993164063,500.989997699708,3768.93993394092
40,348,1,2016-01-27,Darren Witt,4028.97998046875,805.796008101046,3223.1839723677
41,979,2,2016-01-27,Ingeborg Ellison,3418.96997070313,551.695003338084,2867.27496736504
42,1095,2,2016-01-27,Corene Swanson,449,22.4500003345311,426.549999665469
43,1434,2,2016-01-27,Elana Miles,1639.9599609375,108.996998694494,1530.96296224301
44,861,2,2016-01-28,Olympia Figueroa,4599.97998046875,429.998504942633,4169.98147552612
45,1220,2,2016-01-28,Carissa Cross,6609.94995117188,1205.89431220166,5404.05563897021
46,746,2,2016-01-29,Eldridge Greer,429,42.9000006392598,386.09999936074
47,1234,2,2016-01-29,Joshua Berg,2269.94995117188,200.49509745741,2069.45485371446
48,1012,2,2016-01-30,Josephine Dale,7762.93994140625,1050.0936089953,6712.84633241095
49,608,2,2016-01-31,Taisha Vang,539.97998046875,37.7985987937391,502.181381675011
50,872,3,2016-01-31,Silas Tate,2739.94995117188,241.99409695022,2497.95585422166
51,1047,2,2016-02-01,Jamaal Baker,2069.9599609375,283.494999341592,1786.46496159591
52,767,1,2016-02-03,Twana Arnold,499.989990234375,34.9992994654149,464.99069076896
53,965,2,2016-02-03,Margit Osborn,5739.919921875,957.989003532961,4781.93091834204
54,535,2,2016-02-04,Inge Olsen,2199.96997070313,439.994000697046,1759.97597000608
55,1173,2,2016-02-04,Chanel May,2329.94995117188,425.491498039536,1904.45845313234
56,1241,2,2016-02-04,Nathaniel Davidson,1199.97998046875,83.9985989904344,1115.98138147832
57,1305,2,2016-02-04,Dalia Carson,1767.96997070313,258.497301014033,1509.47266968909
58,504,2,2016-02-05,Tiana Henderson,1288.96997070313,88.4279990300238,1200.5419716731
59,563,2,2016-02-05,Rodney Odom,1877.97998046875,174.298501132406,1703.68147933634
60,151,1,2016-02-06,Joesph Delacruz,4239.94995117188,408.095301096377,3831.8546500755
61,277,2,2016-02-06,Mark Garrett,4201.94995117188,631.394003549129,3570.55594762275
62,208,1,2016-02-07,Denis Logan,4409.94995117188,432.895301659641,3977.05464951223
63,1075,2,2016-02-07,Dann Huff,2897.96997070313,244.897000719562,2653.07296998356
